transaction_id,account_id,transaction_date,amount,transaction_type,merchant_id
112,579,2022-08-20 18:29:54,236.54,credit,29
113,250,2022-11-13 09:26:05,131.18,debit,44
114,920,2023-04-26 21:00:53,148.85,debit,40
115,510,2023-09-29 07:00:42,328.64,debit,10
116,630,2024-03-06 03:18:56,342.45,debit,23
117,73,2023-01-23 15:04:03,96.26,credit,10
118,282,2023-01-25 13:40:22,82.07,credit,43
119,916,2022-04-17 19:42:43,49.03,debit,30
120,960,2023-02-26 14:24:39,150.87,credit,1
121,360,2024-07-13 09:58:36,92.72,debit,48
122,10,2024-06-21 21:35:52,324.14,credit,16
123,211,2023-03-08 21:45:37,32.72,debit,6
124,835,2022-06-13 01:08:35,44.57,credit,19
125,152,2024-08-30 18:08:43,45.59,credit,34
126,5,2023-05-04 01:54:17,196.79,credit,49
127,195,2022-07-08 17:57:13,12.52,debit,17
128,954,2023-10-14 18:23:56,72.98,debit,49
129,283,2022-07-11 19:03:40,66.95,debit,11
130,464,2024-02-07 14:16:24,9.11,debit,29
131,113,2022-12-14 23:11:48,63.48,debit,35
132,271,2024-09-23 06:31:22,86.43,debit,28
133,163,2022-04-22 20:49:55,8.08,credit,13
134,460,2024-08-24 21:56:46,85.57,debit,4
135,105,2024-06-06 09:03:50,384.0,credit,16
136,693,2022-09-24 09:09:11,463.1,debit,34
137,556,2022-03-09 04:15:39,91.03,debit,21
138,282,2023-09-14 08:17:13,86.86,debit,16
139,687,2022-08-24 14:17:58,40.34,credit,20
140,162,2022-09-28 06:12:22,701.81,debit,38
141,983,2022-06-30 22:28:40,38.46,credit,35
142,351,2023-02-04 10:57:56,72.38,debit,36
143,434,2024-08-11 20:38:59,0.35,debit,17
144,852,2023-04-06 02:17:33,51.55,debit,37
145,140,2023-02-01 12:57:13,8.89,credit,23
146,471,2022-09-10 19:52:01,163.43,debit,46
147,132,2023-07-11 08:06:30,98.79,debit,35
148,87,2024-08-23 11:13:33,101.88,debit,6
149,688,2023-08-04 16:33:02,40.51,debit,1
150,183,2022-09-14 19:39:38,202.42,credit,40
151,368,2022-11-02 15:14:40,0.39,credit,1
152,129,2022-10-13 06:24:35,48.7,debit,42
153,246,2024-09-05 13:20:27,129.28,credit,3
154,601,2024-03-09 21:15:33,286.22,debit,45
155,578,2022-01-05 21:43:53,32.09,debit,15
156,670,2022-11-23 13:14:17,93.47,debit,9
157,899,2023-06-27 10:34:06,92.66,credit,34
158,378,2023-04-29 10:42:04,248.74,credit,25
159,149,2023-12-18 11:20:16,6.22,debit,17
160,985,2024-02-01 04:23:10,66.3,credit,8
161,852,2022-05-16 07:46:46,24.18,credit,2
162,433,2023-07-11 14:34:08,2.61,debit,6
163,628,2023-12-28 09:01:50,19.08,credit,23
164,726,2022-01-17 09:39:49,449.94,credit,50
165,469,2022-03-25 11:09:19,29.03,credit,13
166,446,2023-07-06 18:54:51,328.06,credit,33
167,481,2022-10-19 20:59:46,27.57,debit,10
168,884,2023-10-25 04:20:16,321.35,credit,35
169,294,2022-08-09 21:54:12,127.57,credit,41
170,765,2022-06-29 09:44:08,14.42,debit,22
171,143,2022-01-29 23:51:30,104.65,debit,13
172,250,2024-03-26 06:32:14,46.02,credit,5
173,878,2022-04-09 07:26:44,57.98,credit,6
174,948,2023-11-13 18:21:16,69.61,debit,41
175,975,2022-07-03 11:43:56,65.93,debit,12
176,302,2022-06-18 21:22:55,130.92,credit,23
177,25,2024-08-20 01:51:02,175.51,credit,49
178,789,2023-12-08 14:52:59,47.91,debit,43
179,984,2023-06-07 16:36:13,309.82,debit,47
180,889,2022-08-15 07:21:26,334.58,credit,29
181,890,2023-01-12 11:27:23,4.98,debit,31
182,901,2024-07-28 22:37:41,1.8,credit,2
183,70,2023-01-03 20:09:18,66.42,debit,22
184,625,2024-03-04 00:38:30,107.18,debit,18
185,875,2023-10-07 21:21:58,39.07,debit,24
186,112,2023-10-04 11:20:34,36.04,credit,14
187,364,2024-09-26 07:01:45,136.11,credit,38
188,303,2023-04-09 10:55:52,110.47,debit,41
189,471,2022-09-07 21:59:54,21.95,credit,34
190,964,2022-03-04 22:18:36,259.02,debit,49
191,91,2024-02-21 23:36:00,136.72,debit,4
192,530,2023-07-14 21:25:57,54.04,credit,10
193,661,2023-08-05 10:37:10,138.1,credit,8
194,988,2023-10-05 23:13:42,14.34,credit,38
195,739,2023-03-12 02:07:17,75.79,debit,27
196,726,2022-09-15 13:11:13,22.21,credit,30
197,872,2022-09-09 13:07:06,5.08,debit,3
198,663,2023-01-08 14:05:23,49.56,credit,39
199,192,2022-02-19 07:00:18,19.61,debit,29
200,963,2022-01-07 07:08:11,120.46,debit,32
201,552,2022-01-01 06:07:39,134.53,debit,42
202,242,2023-04-19 02:33:18,19.32,credit,49
203,138,2024-07-14 06:40:53,2.99,debit,24
204,345,2022-08-14 02:04:16,188.89,debit,28
205,180,2023-04-14 16:45:35,0.25,credit,31
206,712,2024-02-03 09:56:14,50.58,credit,19
207,503,2022-06-17 00:26:19,81.88,debit,29
208,203,2022-06-05 14:36:49,204.87,credit,16
209,573,2024-02-17 08:26:03,218.83,debit,33
210,192,2024-01-21 04:45:26,154.89,debit,35
211,5,2023-03-26 20:44:51,34.07,debit,23
212,890,2024-03-23 20:05:04,152.84,debit,18
213,237,2023-10-27 22:24:57,33.97,credit,39
214,693,2024-07-18 01:33:40,28.99,credit,37
215,311,2024-05-15 16:16:26,95.06,debit,13
216,549,2022-01-29 23:16:41,136.3,credit,17
217,56,2022-04-02 04:34:14,6.54,debit,8
218,443,2022-12-07 19:33:10,7.43,debit,45
219,237,2023-04-10 18:30:33,183.99,credit,35
220,870,2022-08-07 23:32:25,235.5,credit,17
221,861,2022-10-13 04:13:21,111.29,credit,11
222,197,2024-02-28 06:54:23,67.21,debit,19
223,585,2023-01-29 13:10:11,223.96,credit,38
224,571,2022-07-01 17:03:47,156.6,credit,50
225,752,2024-02-28 19:46:45,103.98,credit,13
226,514,2023-02-10 22:38:44,46.24,credit,34
227,449,2022-05-22 04:25:56,26.48,debit,22
228,360,2022-10-30 08:44:27,65.09,credit,20
229,700,2022-03-31 04:45:30,40.56,credit,36
230,819,2022-09-05 00:13:36,49.73,debit,31
231,30,2023-12-03 17:07:14,86.99,debit,31
232,779,2022-03-01 21:38:41,22.23,debit,18
233,988,2022-08-05 21:09:50,196.9,debit,28
234,108,2023-07-04 17:35:16,18.87,debit,20
235,844,2022-11-27 14:12:09,78.7,debit,34
236,935,2024-02-23 03:05:47,164.44,credit,22
237,602,2022-08-22 18:06:38,79.64,debit,50
238,717,2023-03-13 17:00:57,53.75,credit,36
239,891,2024-04-11 19:32:17,77.3,credit,8
240,968,2022-07-26 12:09:30,226.6,credit,29
241,959,2022-09-12 23:48:08,557.92,credit,22
242,960,2022-07-04 05:05:05,119.68,debit,3
243,445,2024-06-18 07:26:27,189.26,credit,45
244,893,2024-02-03 18:39:17,1.75,credit,2
245,438,2023-12-03 03:14:19,254.8,credit,9
246,732,2023-09-19 08:33:01,369.62,debit,9
247,890,2024-07-16 11:29:55,102.73,debit,26
248,606,2023-04-14 21:46:28,168.2,credit,1
249,457,2023-06-17 21:16:27,86.28,debit,41
250,615,2024-03-20 08:08:05,40.46,credit,16
251,735,2023-06-14 13:02:15,229.47,debit,43
252,698,2022-03-18 09:43:36,109.01,credit,18
253,981,2023-03-08 15:28:28,103.92,debit,39
254,696,2022-09-30 11:20:45,129.15,debit,31
255,495,2023-10-23 22:53:52,232.56,credit,46
256,674,2023-07-25 12:01:23,157.97,credit,1
257,247,2022-07-15 20:48:47,28.46,credit,46
258,543,2024-04-30 04:58:48,75.47,credit,1
259,564,2024-01-09 06:24:27,471.25,debit,46
260,857,2022-03-09 07:59:39,97.04,credit,24
261,588,2022-03-05 20:53:02,334.15,credit,14
262,897,2022-10-24 16:01:48,201.43,credit,23
263,439,2023-07-20 16:54:56,131.6,debit,48
264,278,2022-06-03 12:26:01,51.58,credit,8
265,552,2022-07-07 19:43:50,43.54,credit,2
266,613,2023-03-15 09:14:47,123.74,credit,5
267,111,2022-04-26 07:25:42,67.99,debit,38
268,385,2024-04-16 19:32:39,192.39,credit,33
269,833,2022-05-09 15:54:30,171.48,debit,4
270,761,2023-06-27 18:38:04,44.9,debit,39
271,191,2023-10-16 14:49:33,145.57,credit,8
272,490,2022-10-21 17:33:57,81.88,credit,29
273,694,2024-07-19 19:47:27,46.86,credit,29
274,426,2023-07-18 10:41:02,63.92,credit,37
275,405,2023-09-22 01:52:03,270.86,debit,38
276,335,2023-12-31 07:33:29,53.46,debit,30
277,209,2024-05-27 17:29:47,40.66,debit,47
278,22,2024-07-30 02:12:41,52.03,debit,12
279,678,2023-11-29 02:41:55,28.99,credit,40
280,611,2024-08-29 10:45:24,94.4,credit,8
281,208,2023-01-12 13:31:19,19.14,debit,48
282,8,2024-01-07 19:49:45,204.08,credit,47
283,702,2022-08-23 20:29:07,30.68,credit,19
284,687,2022-12-03 21:42:17,109.37,debit,3
285,785,2023-05-23 00:50:14,16.03,credit,40
286,529,2022-11-14 19:07:29,460.5,debit,23
287,602,2023-07-12 07:47:57,72.74,credit,16
288,653,2022-12-05 14:01:33,207.23,credit,50
289,657,2022-07-07 13:20:29,175.66,credit,46
290,166,2024-01-31 22:54:38,150.08,credit,28
291,849,2024-09-18 03:21:51,210.79,debit,26
292,496,2022-07-04 14:35:32,12.71,debit,50
293,590,2022-05-25 17:54:08,136.17,credit,12
294,429,2022-04-06 15:54:22,37.08,debit,44
295,774,2022-10-08 12:50:50,184.94,debit,24
296,163,2022-02-04 11:38:43,377.22,credit,49
297,366,2023-11-29 16:46:47,278.11,credit,14
298,526,2023-11-20 20:46:55,14.65,credit,18
299,239,2024-07-14 11:25:10,55.36,credit,44
300,72,2022-12-31 13:50:09,54.37,credit,40
301,445,2022-05-05 09:50:03,15.65,debit,23
302,655,2022-10-25 18:23:32,12.39,credit,15
303,822,2022-11-19 11:02:40,58.31,credit,3
304,509,2023-07-17 23:22:55,580.48,credit,40
305,795,2024-05-30 07:29:18,100.98,credit,10
306,269,2023-08-13 01:20:49,116.67,debit,32
307,753,2023-04-21 10:02:01,76.42,credit,9
308,415,2024-09-20 04:56:53,130.28,debit,9
309,245,2023-12-30 06:52:27,376.65,credit,45
310,675,2023-06-11 14:25:37,106.61,debit,46
311,60,2022-04-14 22:38:17,8.07,credit,22
312,6,2022-03-02 09:40:10,81.48,debit,2
313,709,2022-04-27 19:48:50,591.23,debit,45
314,982,2024-08-15 08:14:11,58.81,credit,33
315,570,2022-11-26 17:19:26,108.13,credit,32
316,817,2024-04-21 14:11:13,13.53,debit,11
317,407,2022-04-11 14:36:56,18.26,credit,26
318,217,2022-08-29 00:42:40,249.23,credit,30
319,930,2024-04-21 12:44:53,42.86,credit,16
320,26,2023-06-19 10:27:35,43.74,debit,17
321,815,2022-10-11 22:04:08,58.77,debit,25
322,5,2023-11-19 19:43:06,407.47,debit,24
323,986,2024-06-18 23:09:46,10.58,debit,10
324,532,2022-08-02 01:15:51,204.95,debit,5
325,390,2022-04-09 16:20:36,50.15,debit,29
326,710,2023-10-11 23:06:44,227.23,credit,39
327,571,2023-10-28 01:06:34,575.79,debit,44
328,448,2022-10-16 20:34:45,51.45,credit,48
329,754,2022-10-07 02:10:09,16.62,credit,16
330,146,2023-05-25 05:21:26,18.71,debit,22
331,388,2022-01-25 19:57:47,170.63,debit,41
332,785,2023-05-10 04:24:37,18.79,debit,48
333,249,2023-01-11 23:43:27,36.2,credit,44
334,526,2023-03-24 16:15:48,27.44,debit,37
335,462,2024-05-09 02:42:12,52.75,debit,9
336,13,2023-01-26 06:30:46,9.27,credit,34
337,903,2022-02-23 00:34:09,233.17,credit,1
338,384,2023-10-16 10:37:34,236.06,debit,18
339,556,2022-12-08 07:25:48,63.91,debit,19
340,887,2022-08-16 12:10:21,113.64,credit,50
341,399,2023-04-17 00:42:40,123.25,credit,17
342,19,2023-08-01 20:09:48,166.0,credit,39
343,575,2023-08-10 14:08:11,88.25,debit,21
344,491,2023-11-17 14:32:17,85.68,credit,16
345,751,2023-03-27 19:58:56,119.73,debit,34
346,419,2024-01-13 19:24:44,145.7,credit,47
347,337,2023-11-26 12:31:48,51.08,debit,20
348,419,2024-02-29 11:56:57,48.12,debit,38
349,915,2022-05-21 09:08:42,37.72,credit,3
350,916,2023-10-01 02:17:36,95.51,credit,10
351,612,2024-02-16 22:55:05,53.58,credit,32
352,675,2022-12-25 08:35:49,93.27,debit,44
353,928,2023-01-04 11:52:26,62.5,debit,9
354,122,2024-04-29 04:16:33,217.49,debit,14
355,432,2024-07-20 13:30:24,9.11,debit,35
356,44,2022-04-24 02:01:41,101.89,debit,26
357,872,2023-03-22 11:24:13,102.86,credit,4
358,920,2024-07-13 15:27:48,58.09,credit,2
359,317,2024-08-09 10:02:52,65.58,credit,1
360,381,2024-08-08 21:49:44,193.21,credit,50
361,145,2023-06-24 18:15:20,39.53,debit,2
362,327,2024-06-29 12:43:33,246.13,credit,4
363,363,2022-08-19 22:18:33,272.0,debit,30
364,50,2022-08-08 04:12:13,126.19,credit,4
365,65,2024-09-12 18:37:22,177.86,credit,20
366,355,2024-02-20 18:26:07,113.9,debit,37
367,800,2022-01-22 12:15:35,89.4,credit,9
368,164,2023-03-29 12:14:19,408.18,credit,23
369,141,2022-05-01 15:50:34,39.86,debit,28
370,966,2024-07-06 23:11:08,20.09,debit,32
371,826,2022-06-30 16:36:08,40.67,credit,21
372,128,2022-07-30 05:00:51,114.42,credit,33
373,398,2022-06-29 12:19:38,24.58,credit,39
374,933,2022-01-12 15:07:46,287.38,debit,46
375,880,2023-03-03 11:09:37,63.52,credit,27
376,463,2024-05-26 09:43:55,227.62,credit,7
377,751,2022-03-22 23:50:12,34.4,debit,44
378,836,2022-05-04 10:13:09,45.08,credit,19
379,808,2024-01-24 21:49:42,7.33,debit,5
380,187,2022-03-10 21:19:04,35.77,debit,8
381,720,2022-04-01 02:24:12,80.88,credit,32
382,732,2023-08-08 13:20:54,350.56,debit,45
383,912,2024-01-17 19:31:46,59.1,debit,37
384,190,2022-11-13 06:33:00,122.51,credit,47
385,388,2024-04-10 19:31:14,66.97,debit,30
386,429,2022-04-16 04:34:23,5.75,debit,41
387,858,2024-07-27 02:44:32,84.03,debit,42
388,284,2022-05-04 06:09:44,8.18,debit,32
389,864,2024-05-21 22:52:54,258.19,credit,46
390,237,2024-09-16 22:08:13,167.82,credit,4
391,194,2022-09-10 01:37:15,57.1,credit,39
392,287,2024-09-14 07:59:57,122.67,debit,6
393,771,2024-05-22 02:49:27,14.26,credit,3
394,758,2022-12-07 21:53:15,145.5,credit,2
395,136,2023-02-28 05:49:39,207.61,credit,21
396,792,2023-09-28 17:25:33,206.95,credit,30
397,783,2022-03-04 19:41:08,40.14,debit,27
398,171,2022-04-09 00:26:22,36.74,debit,14
399,159,2022-05-30 07:17:52,88.43,debit,45
400,201,2023-11-17 05:54:20,412.19,debit,29
401,487,2024-02-10 03:46:01,303.87,debit,16
402,557,2022-04-28 23:20:54,53.49,credit,45
403,962,2022-04-21 22:12:37,181.6,credit,49
404,776,2024-06-26 23:58:41,305.08,credit,44
405,583,2024-03-11 01:44:34,36.28,debit,50
406,504,2023-02-09 19:41:06,212.84,debit,49
407,876,2023-12-24 06:43:53,37.42,credit,4
408,371,2024-04-07 04:23:18,50.46,debit,14
409,103,2022-09-18 19:20:20,26.6,credit,16
410,125,2023-05-06 22:48:40,84.89,credit,11
411,313,2022-02-20 18:05:54,222.42,debit,31
412,976,2022-03-03 17:42:56,90.11,debit,36
413,995,2024-09-07 07:45:09,15.81,credit,29
414,798,2023-07-19 20:51:43,34.81,debit,10
415,458,2023-10-23 09:33:44,99.3,credit,47
416,230,2022-05-25 10:05:32,105.01,credit,38
417,658,2023-05-27 04:57:40,103.22,credit,44
418,882,2024-06-06 01:47:10,9.62,debit,38
419,197,2023-07-10 21:29:28,168.14,credit,28
420,885,2023-12-12 11:53:02,288.19,credit,35
421,733,2022-12-18 02:17:06,85.73,credit,33
422,423,2023-06-24 07:36:22,152.26,debit,31
423,572,2024-02-26 20:48:24,294.43,credit,8
424,610,2023-07-25 14:33:49,123.48,debit,31
425,171,2024-07-12 12:49:23,134.62,debit,48
426,382,2024-04-06 11:51:33,153.36,debit,5
427,173,2024-09-01 08:35:40,36.21,credit,39
428,663,2024-09-18 16:08:28,104.87,credit,38
429,453,2022-10-01 20:29:30,221.55,debit,21
430,350,2023-01-10 20:11:34,42.14,credit,43
431,902,2022-12-25 23:51:44,272.96,credit,25
432,952,2024-03-12 02:16:07,116.23,credit,42
433,634,2022-11-07 19:20:25,66.03,credit,9
434,494,2022-01-17 06:50:31,117.12,debit,21
435,620,2022-09-14 16:46:05,61.67,credit,2
436,4,2024-03-25 14:07:48,218.45,credit,37
437,93,2022-07-11 03:56:27,79.01,debit,6
438,919,2023-08-26 09:38:34,277.78,debit,20
439,6,2024-08-04 03:00:11,85.55,debit,13
440,288,2022-07-13 20:16:48,129.59,credit,14
441,618,2023-05-21 10:06:56,731.32,debit,3
442,146,2023-06-27 22:56:58,19.07,credit,44
443,783,2022-10-08 16:17:22,160.15,credit,41
444,424,2023-12-06 00:44:58,17.94,debit,44
445,890,2023-08-25 17:14:35,219.06,debit,41
446,608,2023-12-23 16:12:28,108.9,debit,25
447,457,2024-03-10 06:33:53,333.98,credit,15
448,741,2023-08-31 21:58:01,241.15,debit,42
449,202,2023-11-11 22:40:21,9.34,debit,13
450,212,2024-08-25 07:01:08,17.72,credit,28
451,6,2024-01-20 18:32:55,110.31,debit,43
452,624,2024-05-15 13:45:44,87.66,debit,4
453,376,2024-04-07 05:47:27,22.15,debit,38
454,891,2022-06-30 05:59:49,16.62,debit,26
455,447,2023-10-10 04:30:02,99.61,debit,45
456,835,2022-01-10 15:01:41,6.02,debit,19
457,106,2022-03-04 09:56:56,248.32,credit,1
458,651,2024-06-09 06:09:17,197.46,debit,42
459,811,2024-06-01 12:13:36,184.66,credit,29
460,401,2023-09-11 05:08:27,1.94,debit,28
461,96,2023-01-27 02:33:55,5.86,debit,35
462,388,2022-04-29 22:48:47,95.78,debit,13
463,959,2022-05-15 06:56:22,622.75,debit,45
464,452,2023-07-14 14:48:15,50.28,debit,33
465,849,2022-05-30 11:43:56,50.66,credit,5
466,809,2023-01-14 17:52:39,17.3,debit,14
467,979,2024-03-26 05:04:57,134.63,debit,9
468,901,2024-03-23 15:42:33,124.84,debit,4
469,416,2022-07-23 15:28:27,12.82,debit,2
470,726,2024-09-07 17:43:44,75.6,debit,14
471,504,2024-02-20 13:33:11,131.98,debit,3
472,454,2023-11-11 06:35:14,81.63,debit,4
473,291,2023-01-29 11:48:46,134.64,credit,45
474,534,2022-07-04 13:57:01,203.31,debit,7
475,193,2024-03-11 12:28:30,138.93,credit,15
476,980,2024-04-09 03:19:18,114.89,debit,28
477,150,2022-04-25 17:55:24,230.56,credit,4
478,880,2024-04-27 10:05:27,277.02,debit,48
479,759,2022-05-21 14:14:24,59.1,credit,12
480,779,2023-04-23 12:41:17,22.83,credit,17
481,973,2023-07-22 07:38:16,204.36,credit,17
482,763,2024-07-13 00:28:24,28.86,debit,6
483,515,2024-03-29 15:49:30,317.33,debit,44
484,393,2022-08-23 05:42:48,2.78,credit,48
485,316,2022-02-21 11:22:24,305.01,credit,3
486,76,2023-02-03 11:12:58,106.75,credit,12
487,599,2024-05-03 16:59:36,178.86,debit,34
488,270,2023-03-13 10:16:27,61.0,debit,1
489,225,2022-09-01 20:26:32,575.22,debit,5
490,530,2022-04-06 05:56:59,30.98,credit,6
491,113,2023-11-15 06:15:46,36.84,credit,15
492,251,2022-06-08 00:08:03,6.34,credit,21
493,233,2023-09-13 22:45:05,338.56,credit,48
494,841,2024-08-24 15:07:27,73.06,credit,34
495,791,2022-05-10 22:00:17,134.82,credit,9
496,714,2023-01-17 07:30:14,139.56,credit,8
497,83,2023-03-04 22:48:41,249.06,debit,36
498,125,2024-01-30 15:12:22,131.21,credit,5
499,175,2024-08-03 08:29:03,99.07,debit,26
500,69,2023-11-22 06:48:09,148.68,credit,9
501,47,2023-01-08 07:05:09,166.82,credit,21
502,884,2022-03-31 20:41:22,24.68,credit,43
503,256,2024-07-12 03:25:12,13.94,credit,23
504,727,2024-02-07 22:26:53,9.34,debit,23
505,30,2022-06-12 10:37:29,56.22,debit,28
506,281,2023-04-24 13:13:55,82.7,credit,7
507,924,2022-04-06 06:45:33,114.74,credit,34
508,994,2022-12-24 11:55:21,380.51,debit,29
509,237,2024-04-03 00:11:17,48.2,credit,24
510,248,2022-06-14 06:14:19,171.69,debit,27
511,368,2024-02-02 18:45:16,90.95,debit,21
512,495,2022-10-14 20:48:36,29.83,credit,34
513,25,2022-07-10 04:23:41,114.64,credit,12
514,586,2022-10-29 11:32:01,409.99,debit,17
515,718,2024-01-31 09:49:02,15.93,debit,6
516,490,2022-01-20 03:44:44,84.94,credit,1
517,494,2022-08-26 08:22:45,6.36,credit,9
518,314,2024-06-19 20:28:14,46.49,debit,42
519,606,2022-07-28 10:15:47,116.3,debit,22
520,375,2022-08-15 14:33:49,220.71,debit,38
521,639,2022-08-29 09:51:29,157.27,credit,1
522,937,2022-10-19 18:53:00,74.58,debit,28
523,25,2022-03-04 14:45:21,287.92,debit,16
524,334,2024-03-27 18:27:58,43.27,debit,10
525,355,2022-01-30 18:19:20,168.28,credit,29
526,116,2023-04-13 08:04:48,77.1,credit,46
527,48,2023-06-07 13:36:25,274.68,credit,14
528,738,2022-01-18 15:44:43,191.6,credit,46
529,778,2022-12-28 23:40:50,278.09,debit,13
530,99,2024-05-31 12:47:46,28.93,credit,2
531,459,2024-08-19 05:34:30,132.37,debit,20
532,523,2022-03-16 19:04:25,160.94,credit,2
533,597,2024-03-20 10:31:37,162.77,credit,18
534,405,2022-12-31 23:14:47,84.14,debit,5
535,214,2024-02-21 09:19:24,1.36,debit,26
536,685,2022-03-18 01:51:10,36.36,debit,4
